date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1955-01-08,France,Scotland,15,0,1955 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1955-01-22,Wales,England,3,0,1955 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1955-01-22,Ireland,France,3,5,1955 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1955-02-05,Scotland,Wales,14,8,1955 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1955-02-11,Ireland,England,6,6,1955 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1955-02-26,England,France,9,16,1955 Five Nations Championship,Twickenham,London,England,False,False
1955-02-26,Scotland,Ireland,12,3,1955 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1955-03-12,Wales,Ireland,21,3,1955 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1955-03-19,England,Scotland,9,6,1955 Five Nations Championship,Twickenham Stadium,London,England,False,False
1955-03-26,France,Wales,11,16,1955 Five Nations Championship,Stade Colombes,Paris,France,False,False
1955-04-10,France,Italy,24,0,Test Match,Stade Lesdiguières,Grenoble,France,False,False
1955-08-20,New Zealand,Australia,16,8,1955 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False
1955-09-03,New Zealand,Australia,8,0,1955 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand,False,False
1955-09-17,New Zealand,Australia,3,8,1955 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,False,False
1956-01-14,Scotland,France,12,0,1956 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1956-01-21,England,Wales,3,8,1956 Five Nations Championship,Twickenham,London,England,False,False
1956-01-28,France,Ireland,14,8,1956 Five Nations Championship,Colombes,Paris,France,False,False
1956-02-04,Wales,Scotland,9,3,1956 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1956-02-10,England,Ireland,20,0,1956 Five Nations Championship,Twickenham,London,England,False,False
1956-02-25,Ireland,Scotland,14,10,1956 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1956-03-10,Ireland,Wales,11,3,1956 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1956-03-17,Scotland,England,6,11,1956 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1956-03-24,Wales,France,5,3,1956 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1956-04-02,Italy,France,3,16,Test Match,Stadio Plebiscito,Padua,Italy,False,False
1956-04-14,France,England,14,9,1956 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1956-05-26,Australia,South Africa,0,9,1956 South Africa tour of Australia and New Zealand,Sydney Cricket Ground,Sydney,Australia,False,False
1956-06-02,Australia,South Africa,0,9,1956 South Africa tour of Australia and New Zealand,Brisbane Exhibition Ground,Brisbane,Australia,False,False
1956-07-14,New Zealand,South Africa,10,6,1956 South Africa tour,Carisbrook,Dunedin,New Zealand,False,False
1956-08-04,New Zealand,South Africa,3,8,1956 South Africa tour,Athletic Park,Wellington,New Zealand,False,False
1956-08-18,New Zealand,South Africa,17,10,1956 South Africa tour,Lancaster Park,Christchurch,New Zealand,False,False
1956-09-01,New Zealand,South Africa,11,5,1956 South Africa tour,Eden Park,Auckland,New Zealand,False,False
1957-01-12,France,Scotland,0,6,1957 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1957-01-19,Wales,England,0,3,1957 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1957-01-26,Ireland,France,11,6,1957 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1957-02-02,Scotland,Wales,9,6,1957 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1957-02-09,Ireland,England,0,6,1957 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1957-02-23,Scotland,Ireland,3,5,1957 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1957-02-23,England,France,9,5,1957 Five Nations Championship,Twickenham,London,England,False,False
1957-03-09,Wales,Ireland,6,5,1957 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1957-03-16,England,Scotland,16,3,1957 Five Nations Championship,Twickenham Stadium,London,England,False,False
1957-03-23,France,Wales,13,19,1957 Five Nations Championship,Stade Colombes,Paris,France,False,False
1957-04-21,France,Italy,38,6,Test Match,Stade Armandie,Agen,France,False,False
1957-05-25,Australia,New Zealand,11,25,1957 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1957-06-01,Australia,New Zealand,9,22,1957 New Zealand tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia,False,False
1958-01-04,Wales,Australia,9,3,"1957–58 Australia tour of Great Britain, Ireland and France",National Stadium,Cardiff,Wales,False,False
1958-01-11,Scotland,France,11,9,1958 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1958-01-18,England,Wales,3,3,1958 Five Nations Championship,Twickenham,London,England,False,False
1958-01-18,Ireland,Australia,9,6,"1957–58 Australia tour of Great Britain, Ireland and France",Lansdowne Road,Dublin,Ireland,False,False
1958-02-01,Wales,Scotland,8,3,1958 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1958-02-01,England,Australia,9,6,"1957–58 Australia tour of Great Britain, Ireland and France",Twickenham Stadium,London,England,False,False
1958-02-08,England,Ireland,6,0,1958 Five Nations Championship,Twickenham,London,England,False,False
1958-02-15,Scotland,Australia,12,8,"1957–58 Australia tour of Great Britain, Ireland and France",Murrayfield Stadium,Edinburgh,Scotland,False,False
1958-03-01,Ireland,Scotland,12,6,1958 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1958-03-01,France,England,0,14,1958 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
